sample_id,date,ng_ul,a260,a280,r260.280,r260.230,a340_raw,extraction_date
AFC_F1_51-1_sept28,2/2/2017,21.24,0.425,0.203,2.09,2.25,-0.032,NA
AFC_F1_28-4_nov11,2/2/2017,20.84,0.417,0.203,2.05,2.3,-0.015,NA
AFC_F1_28-4_nov11,2/2/2017,20.34,0.407,0.204,1.99,2.27,-0.013,NA
AFC_F1_60-2_nov11,2/2/2017,19.85,0.397,0.196,2.02,2.37,-0.044,NA
AFC_F1_60-2_nov11,2/2/2017,18.3,0.366,0.212,1.73,2.42,-0.044,NA
AFC_F1_49-2_feb02,2/2/2017,15.78,0.316,0.164,1.93,1.48,-0.726,NA
AFC_F1_54-4_feb02,2/2/2017,13.85,0.277,0.147,1.88,1.94,-0.047,NA
AFC_F1_49-2_feb02,2/2/2017,13.7,0.274,0.144,1.91,1.54,-0.079,NA
AFC_F1_27-1_sept28,2/2/2017,9.11,0.182,0.068,2.7,2.28,-0.019,NA
AFC_F1_56-3_feb02,2/2/2017,8.26,0.165,0.065,2.54,2.14,-0.055,NA
AFC_F1_27-1_sept28,2/2/2017,7.66,0.153,0.092,1.67,1.88,-0.042,NA
AFC_F1_56-3_feb02,2/2/2017,7.61,0.152,0.081,1.88,2.02,-0.065,NA
AFC-F1-3-1,9/29/2016,331.45,6.629,3.16,2.1,1.78,0.591,28-Sep
AFC-F1-15-1,9/29/2016,204.9,4.098,1.912,2.14,2.49,0.116,28-Sep
AFC-F1-63-1,9/29/2016,144.64,2.893,1.359,2.13,2.51,0.108,28-Sep
AFC-F1-28-1,9/29/2016,99.23,1.985,0.909,2.18,3.47,0.026,28-Sep
AFC-F1-13-1,9/29/2016,35.38,0.708,0.341,2.07,8.86,0.034,28-Sep
AFC-F1-18-1,9/29/2016,21.24,0.425,0.216,1.97,-6.75,0.016,28-Sep
AFC-F1-25-1,9/29/2016,18.99,0.38,0.208,1.83,-3.22,0.005,28-Sep
AFC-F1-51-1,9/29/2016,15.46,0.309,0.155,1.99,-1.87,-0.012,28-Sep
AFC-F1-5-1,9/29/2016,11.11,0.222,0.147,1.51,-1.45,-0.01,28-Sep
AFC-F1-27-1,9/29/2016,4.79,0.096,0.063,1.53,-0.38,-0.016,28-Sep
AFC-F1-68-1,9/29/2016,0.6,0.012,0.012,1.01,-0.04,0.01,28-Sep
